q2y,zpt,bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
1,1,(Q2_y_Bin_1)-(z_pT_Bin_1),23714.552997456693,500.72833785314833,-0.010504883328684,0.00626715147296219,0.0133207472699202,0.008139105812966951,23.028961972963426,18.0,1.2793867762757458,False,False
1,2,(Q2_y_Bin_1)-(z_pT_Bin_2),25027.719820352955,648.379471711738,-0.05493405870333945,0.04117535921147202,0.03668904889154347,0.027455258929914295,33.05095771124417,15.0,2.2033971807496116,False,False
1,3,(Q2_y_Bin_1)-(z_pT_Bin_3),27990.207785113595,543.9808457438066,-0.1327308226801738,0.03268819811575645,0.03197713355759244,0.023876465373817376,26.587347508724328,15.0,1.7724898339149553,False,False
1,4,(Q2_y_Bin_1)-(z_pT_Bin_4),25866.17408779375,266.66480455951387,-0.22198908692842378,0.017949528540698534,-0.010000000929174047,0.014793786678615212,41.501896536962356,17.0,2.441288031586021,False,False
1,5,(Q2_y_Bin_1)-(z_pT_Bin_5),23231.9242857174,237.3499665597119,-0.2232463602860921,0.02284270989365428,-0.013515554278849928,0.02121682851500941,31.110098432699665,21.0,1.481433258699984,False,False
1,6,(Q2_y_Bin_1)-(z_pT_Bin_6),17564.86418721847,162.31586673287347,-0.25873791612777636,0.014140199882161572,-0.006530797364273272,0.004708329577781602,24.663585541915854,21.0,1.1744564543769453,False,False
1,7,(Q2_y_Bin_1)-(z_pT_Bin_7),15860.925937626882,152.76417810196472,-0.4294275437878677,0.01338927082054045,0.014265857506804282,0.010517422344543295,45.21958729894809,21.0,2.15331368090229,False,False
1,8,(Q2_y_Bin_1)-(z_pT_Bin_8),27991.408725678768,260.16706800227803,-0.015000000184536023,0.0029612807898818146,1.7967638032645782e-11,9.576517157544186e-12,26.373613564071324,16.0,1.6483508477544577,False,False
1,9,(Q2_y_Bin_1)-(z_pT_Bin_9),27865.53307310112,216.87393720786895,-1.4811375276266303e-12,2.7594057600922095e-12,1.3110023695645072e-14,1.3666128670081588e-14,35.695587782737675,17.0,2.0997404578080987,False,False
1,10,(Q2_y_Bin_1)-(z_pT_Bin_10),30153.966310875247,269.3444771034847,-0.05707424363098457,0.014150602364703418,0.002328110848725304,0.0017379471463197657,19.26613823803504,18.0,1.0703410132241689,False,False
1,11,(Q2_y_Bin_1)-(z_pT_Bin_11),25547.73277258972,177.4905986289432,-0.10941036562740994,0.010623927423152942,0.009595660145583282,0.0067340490926467555,38.88142987422165,21.0,1.8514966606772216,False,False
1,12,(Q2_y_Bin_1)-(z_pT_Bin_12),19584.157502689777,135.53918059928947,-0.16680140620641978,0.010000013533203386,0.022633711289853177,0.008726792235863715,28.80854146906119,21.0,1.3718353080505328,False,False
1,13,(Q2_y_Bin_1)-(z_pT_Bin_13),12194.010665565604,99.2322359658574,-0.2329882406372983,0.011608758016683679,0.0523060100455163,0.011177768564249013,24.74286665785331,21.0,1.1782317456120623,False,False
1,14,(Q2_y_Bin_1)-(z_pT_Bin_14),7686.039629680645,77.14152061473533,-0.41487751043866294,0.014223025384429405,0.1544353302366218,0.013557536466566822,21.759234877249696,21.0,1.036154041773795,False,False
1,15,(Q2_y_Bin_1)-(z_pT_Bin_15),29129.0173196733,248.97900516164555,0.03722003393348466,0.024812070386007135,-0.012500000138761905,0.018926081986212304,19.71369854930928,15.0,1.314246569953952,False,False
1,16,(Q2_y_Bin_1)-(z_pT_Bin_16),28285.40645573527,204.02247371890553,-0.025000009928031006,0.003466482417339021,-0.03894703503826797,0.010598561810646433,38.06915016275434,17.0,2.239361774279667,False,False
1,17,(Q2_y_Bin_1)-(z_pT_Bin_17),28847.139069252444,177.26296217727213,-0.05879594866337701,0.008956131350232873,1.074581278310248e-09,1.8734713782818335e-09,29.566683298921195,21.0,1.4079372999486284,False,False
1,18,(Q2_y_Bin_1)-(z_pT_Bin_18),22669.362706971293,141.74742171017715,-0.13756088798258373,0.008847093230707051,-0.0002255994837271505,0.00011970936645377221,25.77260710438863,21.0,1.2272670049708871,False,False
1,19,(Q2_y_Bin_1)-(z_pT_Bin_19),15824.708208371228,111.74320161309788,-0.16937073736461625,0.009860105599828653,0.01537850850734936,0.010576197571422054,31.02118578915711,21.0,1.4771993232931957,False,False
1,20,(Q2_y_Bin_1)-(z_pT_Bin_20),8527.714224760099,78.18245462253981,-0.2804973914613087,0.013259704578223536,0.10410654987441842,0.01278924931729486,39.64770757755304,21.0,1.8879860751215733,False,False
1,22,(Q2_y_Bin_1)-(z_pT_Bin_22),27961.813601445167,232.41250721448523,-5.2727546680715096e-11,2.9873790945164504e-11,-0.01250000005742871,0.0032679759074786194,25.370562449873166,17.0,1.4923860264631275,False,False
1,23,(Q2_y_Bin_1)-(z_pT_Bin_23),28933.36865632354,201.9698031096832,0.008166407799524836,0.0050573537521122975,-0.009753133515759835,0.006843150305707209,31.725857075896087,21.0,1.5107550988521947,False,False
1,24,(Q2_y_Bin_1)-(z_pT_Bin_24),28684.213967361327,164.02331773745027,-0.08680252585873419,0.008015301402059694,-0.015191970548392808,0.010953669704595194,32.25370309559076,21.0,1.53589062359956,False,False
1,25,(Q2_y_Bin_1)-(z_pT_Bin_25),21319.203551792103,134.20425478724974,-0.1393726466780563,0.008922828387354267,0.005978639535609743,0.0033734779685566417,19.54969004274259,21.0,0.9309376210829805,False,False
1,26,(Q2_y_Bin_1)-(z_pT_Bin_26),12964.2705077953,100.64999685602379,-0.16465385185285397,0.011183651968851849,0.043685645113816604,0.010592285322594899,55.4861165104244,21.0,2.6421960243059237,False,False
1,29,(Q2_y_Bin_1)-(z_pT_Bin_29),29680.084552740238,433.82836403532383,0.017128438017572824,0.010334068780902218,-3.150142397354848e-05,2.0608121827025152e-05,30.083868530365184,17.0,1.769639325315599,False,False
1,30,(Q2_y_Bin_1)-(z_pT_Bin_30),31124.5360596693,211.36067107806957,-0.05239950570383283,0.009646913766694024,-0.02771158956153058,0.009228863582638915,36.559800238082005,21.0,1.7409428684800954,False,False
1,31,(Q2_y_Bin_1)-(z_pT_Bin_31),29404.49893115751,187.20053040359016,-0.09206944561784158,0.008989587871679389,-3.683362294704338e-05,2.2794823130041354e-05,22.647967451527983,21.0,1.0784746405489516,False,False
1,32,(Q2_y_Bin_1)-(z_pT_Bin_32),19950.47587890832,146.21918630572873,-0.1214079858841311,0.010486888849546003,0.01045339834679578,0.007609424983620843,86.96872753103949,21.0,4.141367977668547,False,False
2,1,(Q2_y_Bin_2)-(z_pT_Bin_1),24386.93235849494,261.37591588815667,-0.06804130874856891,0.01514043986787289,0.011449893702136747,0.007070467633004093,28.481971315810135,21.0,1.3562843483719111,False,False
2,2,(Q2_y_Bin_2)-(z_pT_Bin_2),19951.403455460877,295.01304065270233,-0.12778201566912176,0.025239966773174374,0.06980930202268193,0.03930955378541892,50.12773092781981,18.0,2.784873940434434,False,False
2,3,(Q2_y_Bin_2)-(z_pT_Bin_3),21193.943790132893,345.8400801807893,-0.12951812477812083,0.02767236752392581,0.03708491575891234,0.026875994023919332,36.13466993503998,17.0,2.125568819708234,False,False
2,4,(Q2_y_Bin_2)-(z_pT_Bin_4),17416.909224187715,266.6872776352666,-0.21027254766685605,0.0269308912892655,0.009534204331484698,0.007153403598957934,28.850380973477264,17.0,1.6970812337339567,False,False
2,5,(Q2_y_Bin_2)-(z_pT_Bin_5),19739.061568945308,261.23514475258526,-0.2612425701760973,0.022840813154786893,-0.02414862796906364,0.01809133085934977,45.966874483122844,18.0,2.55371524906238,False,False
2,6,(Q2_y_Bin_2)-(z_pT_Bin_6),16473.00087831311,214.09317714911867,-0.2900172772892367,0.0009518311052630624,0.002500000592019303,0.003295385113226341,137.14056295471067,21.0,6.5305029978433655,False,False
2,7,(Q2_y_Bin_2)-(z_pT_Bin_7),27385.20982998883,231.85801890253788,-0.014000002614052428,0.0016910877229115093,0.03000000118302047,0.002650574177555161,40.34601577333899,21.0,1.9212388463494758,False,False
2,8,(Q2_y_Bin_2)-(z_pT_Bin_8),21831.467528650468,289.7114875323732,-0.08426344214656194,0.021538212370768334,-0.029531084078788034,0.021569110907530137,21.65539567866203,17.0,1.273846804627178,False,False
2,9,(Q2_y_Bin_2)-(z_pT_Bin_9),23316.21841742961,262.48570368329274,-0.05579216948225985,0.017323693244820616,0.02246078669325318,0.016708151740802986,46.6830165430518,17.0,2.7460597966501057,False,False
2,10,(Q2_y_Bin_2)-(z_pT_Bin_10),17435.22130120933,175.5366265955854,-0.1432183973752504,0.016521250290621278,0.004102772598902014,0.0030255597664943885,20.068207736123895,19.0,1.0562214597959945,False,False
2,11,(Q2_y_Bin_2)-(z_pT_Bin_11),17947.52177133619,148.20668136070526,-0.1671494825495574,0.012729532286978262,0.005276815475866038,0.003956980634600048,17.239703185378655,21.0,0.820938246922793,False,False
2,12,(Q2_y_Bin_2)-(z_pT_Bin_12),13988.6682153051,121.93993163675623,-0.3507172057923592,0.012565472596411498,0.06678368050974097,0.012011620967816713,15.94477291324485,21.0,0.7592749006307071,False,False
2,13,(Q2_y_Bin_2)-(z_pT_Bin_13),30481.071672861428,275.6313971595173,0.028060265960412632,0.019988589727863194,0.007514792986559213,0.004265861023442076,33.9992032683738,21.0,1.6190096794463713,False,False
