bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
(Q2_y_Bin_1)-(z_pT_Bin_1),25971.54033039136,297.0839045308858,-0.10182941385356553,0.018446126637324346,-0.011500001038158287,0.014696601159762953,29.17020511689232,18.0,1.6205669509384621,False,False
(Q2_y_Bin_1)-(z_pT_Bin_2),25896.091488919068,255.45256774875816,-0.18891127463833005,0.01737928438307869,-0.01145000000528213,0.003514146575709398,63.81062902330406,15.0,4.254041934886938,False,False
(Q2_y_Bin_1)-(z_pT_Bin_3),29592.763552289518,245.19019204147298,-0.19362077041353504,0.014578081194351944,-0.00780000076094988,0.003090646855765284,53.477418993330055,15.0,3.565161266222004,False,False
(Q2_y_Bin_1)-(z_pT_Bin_4),27814.510756595584,192.96435906746228,-0.25032016374229105,0.01227836595440393,-0.0035000011539969367,0.005195172203786955,59.44830441067985,17.0,3.4969590829811676,False,False
(Q2_y_Bin_1)-(z_pT_Bin_5),24882.144366779947,151.19316928990156,-0.27882853575214417,0.010575576801662573,-0.01759550875439165,0.003860724252486349,58.73300046731671,21.0,2.7968095460627005,False,False
(Q2_y_Bin_1)-(z_pT_Bin_6),18613.68547753337,114.09259066292725,-0.31834442145737685,0.009969873572809401,-0.0017879125152462441,0.0030346217037480077,33.81702063189106,21.0,1.6103343158043362,False,False
(Q2_y_Bin_1)-(z_pT_Bin_7),17163.366157991768,95.2290974111238,-0.44615280849381644,0.008162249334137728,0.05144999970670533,0.0009125522739694483,148.66530782522156,21.0,7.079300372629598,False,False
(Q2_y_Bin_1)-(z_pT_Bin_8),29453.037092907343,189.79436792986053,-0.00998889974256289,0.004888708657295183,0.022206089485087545,0.008007248195723522,23.55008055399786,16.0,1.4718800346248662,False,False
(Q2_y_Bin_1)-(z_pT_Bin_9),29481.295444548,391.2176850123724,-0.03806587177640654,0.060503822460431345,0.03174941360655109,0.020101038082006466,20.08439707952844,17.0,1.1814351223252024,False,False
(Q2_y_Bin_1)-(z_pT_Bin_10),30928.895480528983,198.52981704054764,-0.09552661759566555,0.010585649331095993,0.020578355327302934,0.008188599922081163,28.271711156867493,18.0,1.5706506198259718,False,False
(Q2_y_Bin_1)-(z_pT_Bin_11),26435.1706146906,123.55480056447777,-0.16548576740070126,0.007367727541007715,0.023500000003181,0.004846569363069793,44.24118719610918,21.0,2.1067231998147227,False,False
(Q2_y_Bin_1)-(z_pT_Bin_12),20405.700253844992,98.07822470708379,-0.24574798510715257,0.007029917538215552,0.04522326120441709,0.006941234600999414,50.89544230765004,21.0,2.4235924908404782,False,False
