bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
(Q2_y_Bin_1)-(z_pT_Bin_23),29091.296299375834,132.29999677357773,-0.012450000577215093,0.002942940705374115,-0.02286089972490533,0.006808656074254743,39.461160196895555,21.0,1.879102866518836,False,False
(Q2_y_Bin_1)-(z_pT_Bin_24),28751.188296815286,111.9059040200591,-0.08941018761733412,0.00551174633558562,-0.01701011924638085,0.005328467417767732,35.26548737516963,21.0,1.6793089226271252,False,False
(Q2_y_Bin_1)-(z_pT_Bin_25),21404.93695531968,95.98718673251824,-0.13062456277983017,0.006426149141244078,0.00034710282359293616,0.00021770060469588658,24.113248205114644,21.0,1.1482499145292688,False,False
(Q2_y_Bin_1)-(z_pT_Bin_26),13171.83351429438,79.4305039479168,-0.1749109033272976,0.008783424638543716,0.04709445243901351,0.008402453239418656,75.55699939693898,21.0,3.5979523522351893,False,False
(Q2_y_Bin_1)-(z_pT_Bin_29),28972.368046374646,191.43309655470694,0.005999915102530897,0.003256230102166819,-0.006899999629797631,0.004512639824091027,29.312351451164297,17.0,1.724255967715547,False,False
(Q2_y_Bin_1)-(z_pT_Bin_30),31205.23356582612,152.69485361776788,-0.04605635824921668,0.007130004407190849,-0.03149999917927254,0.020742723173196698,38.04247587513743,21.0,1.8115464702446393,False,False
(Q2_y_Bin_1)-(z_pT_Bin_31),29545.506997092994,134.43951153624948,-0.09119940100220829,0.006488120446244729,-0.006750000127734939,0.0028452607921373987,43.49211782807409,21.0,2.07105322990829,False,False
(Q2_y_Bin_1)-(z_pT_Bin_32),20180.936200629185,112.73941146535617,-0.1389553960470786,0.008087966516356682,0.005772002411978186,0.0034287384948036193,120.42619550143688,21.0,5.734580738163661,False,False
(Q2_y_Bin_2)-(z_pT_Bin_1),25365.997936453754,180.5018825839652,-0.09514576891620666,0.010420289879028724,-0.0012000019105213912,0.0023982001967936535,42.92454763837583,21.0,2.0440260780178967,False,False
(Q2_y_Bin_2)-(z_pT_Bin_2),20417.346277473123,183.12601828790866,-0.16850012800935302,0.015042330150594016,0.026999998281329627,0.0027180340305941186,62.80316788288893,18.0,3.4890648823827184,False,False
(Q2_y_Bin_2)-(z_pT_Bin_3),21414.82758129056,182.9880075711535,-0.14592422048689332,0.0143875659976294,0.023549998599792975,0.010836684681285732,51.05144509228988,17.0,3.0030261818994046,False,False
(Q2_y_Bin_2)-(z_pT_Bin_4),17230.200693879473,196.4651856550845,-0.17940934373629197,0.020239550996608652,0.012637984182653099,0.006051809202634747,48.053370779176625,17.0,2.826668869363331,False,False
(Q2_y_Bin_2)-(z_pT_Bin_5),18343.051311129115,135.2056005115901,-0.22771461055298184,0.012475358333948652,-0.0023999947661352324,0.0012970860420060623,89.02995412861216,18.0,4.946108562700676,False,False
(Q2_y_Bin_2)-(z_pT_Bin_6),15674.405656586288,104.94326219697268,-0.322386072560533,0.010902699089907986,0.013054778465652115,0.014219312769376265,98.13194333468877,21.0,4.672949682604227,False,False
(Q2_y_Bin_2)-(z_pT_Bin_7),27335.427635741675,170.02216067649897,-0.002250000303304896,0.003670291702601881,0.004956164959433863,0.004280955275153098,34.128001695924844,21.0,1.625142937901183,False,False
(Q2_y_Bin_2)-(z_pT_Bin_8),22708.706550547315,164.81085963543592,-0.05409503662576705,0.011853653476406614,0.0013000110775038417,0.0022540861094751717,31.672117931192474,17.0,1.863065760658381,False,False
