q2y,zpt,bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
1,1,(Q2_y_Bin_1)-(z_pT_Bin_1),28007.316147850754,544.89928242731,-0.0471624037290197,0.0351707404800388,0.01556192843703295,0.010111074408137306,27.096412246539963,18.0,1.5053562359188868,False,False
1,2,(Q2_y_Bin_1)-(z_pT_Bin_2),28521.250559131913,558.7427067121571,-0.07848207789727198,0.029402344421613744,0.03868292930751245,0.015856792350684934,56.476174883304566,15.0,3.7650783255536378,False,False
1,3,(Q2_y_Bin_1)-(z_pT_Bin_3),31887.78107503762,466.4447590492564,-0.1028404975182975,0.024115631414349317,0.024994228588236318,0.01832195466061708,48.4278466466035,15.0,3.2285231097735667,False,False
1,4,(Q2_y_Bin_1)-(z_pT_Bin_4),29189.742597767752,279.9344915850834,-0.18068725150214235,0.016908040344966416,0.009280592525649204,0.005739305421353176,56.051202267845426,17.0,3.297129545167378,False,False
1,5,(Q2_y_Bin_1)-(z_pT_Bin_5),25531.202703784544,142.36062037610282,-0.23214653770118862,0.0041626122124879955,-0.028156748201513277,0.012758762090927212,59.15305967056067,21.0,2.816812365264794,False,False
1,6,(Q2_y_Bin_1)-(z_pT_Bin_6),19044.047526894832,125.06449355908262,-0.23219257000747515,0.010642672497264943,-0.006693463273236625,0.0036544780178680925,31.47201867530799,21.0,1.498667555967047,False,False
1,7,(Q2_y_Bin_1)-(z_pT_Bin_7),17152.552252634858,97.20885563195952,-0.33330979783613773,0.008527075364619996,0.0582888153888072,0.00812973627114328,108.38387778847772,21.0,5.161137037546558,False,False
1,8,(Q2_y_Bin_1)-(z_pT_Bin_8),30089.243295988777,487.70283969754746,0.005156696830935044,0.003282821723283697,0.01969713340296714,0.01475459554420001,24.194824192887065,16.0,1.5121765120554416,False,False
1,9,(Q2_y_Bin_1)-(z_pT_Bin_9),30068.01747352134,408.243634087994,-0.005286190267973313,0.003931609607971854,0.029110747136557865,0.011577142207752375,19.853847216932817,17.0,1.1678733657019305,False,False
1,10,(Q2_y_Bin_1)-(z_pT_Bin_10),31385.100726245313,205.2267295687252,-0.04907748478160258,0.010373030281289317,0.014753162587424309,0.010751393103212988,27.515655841912512,18.0,1.5286475467729173,False,False
1,11,(Q2_y_Bin_1)-(z_pT_Bin_11),26559.249970849887,132.2352192685521,-0.10517017733100682,0.007867528275920965,0.008148735223545174,0.0059918869841899345,45.14095999675638,21.0,2.1495695236550656,False,False
1,12,(Q2_y_Bin_1)-(z_pT_Bin_12),20286.060902703906,98.28306774002704,-0.16462606434551325,0.00714467736783124,0.03040614075454265,0.0068848699174361965,47.92115696747196,21.0,2.281959855593903,False,False
1,13,(Q2_y_Bin_1)-(z_pT_Bin_13),12656.370140685953,74.03848023481078,-0.20463153720255794,0.00844813669171747,0.050761727373202614,0.008272272467279962,38.70868215927686,21.0,1.8432705790131838,False,False
1,14,(Q2_y_Bin_1)-(z_pT_Bin_14),8444.325562634394,58.03168856672437,-0.3579972815196126,0.010092787277117099,0.13845168845440495,0.00970384921157226,33.298558008354505,21.0,1.5856456194454527,False,False
1,15,(Q2_y_Bin_1)-(z_pT_Bin_15),28779.390863316912,219.46968952900352,-0.019821762524363972,0.03330589137877093,-0.012500010059170234,0.01570999340939751,29.88636929322047,15.0,1.9924246195480313,False,False
1,16,(Q2_y_Bin_1)-(z_pT_Bin_16),28858.895699736386,137.27839005256646,-0.025000008353668446,0.008966113331097893,-0.013019703037697594,0.014850575869077624,35.152339602362034,17.0,2.0677846824918844,False,False
1,17,(Q2_y_Bin_1)-(z_pT_Bin_17),29228.355351165796,125.25966929378592,-0.057844811114877596,0.006449019144234101,6.921748668352014e-09,1.1687078984302181e-08,31.195584005136478,21.0,1.4855040002445943,False,False
1,18,(Q2_y_Bin_1)-(z_pT_Bin_18),23069.81533266074,95.9788999782304,-0.11517542398067211,0.005744578925524074,0.008516313037618269,0.00636599365365406,35.84363814922149,21.0,1.70683991186769,False,False
1,19,(Q2_y_Bin_1)-(z_pT_Bin_19),16328.488638555953,82.35244571768908,-0.1576127165510013,0.00725849371526277,0.02019836257479811,0.006642190272513404,31.3908582958043,21.0,1.494802775990681,False,False
1,20,(Q2_y_Bin_1)-(z_pT_Bin_20),8877.9509935055,61.96598479146451,-0.2526806200935316,0.010242629487137556,0.09182629623191735,0.009898561024492838,35.53974082805712,21.0,1.6923686108598628,False,False
1,22,(Q2_y_Bin_1)-(z_pT_Bin_22),27468.06628161073,218.8822962533868,-0.03932854175571239,0.012879794288768452,-0.012500000513172608,0.0021635441376358436,27.36131720839554,17.0,1.6094892475526787,False,False
1,23,(Q2_y_Bin_1)-(z_pT_Bin_23),28092.09807406978,145.80620884594282,-0.021984872511787736,0.007468287977597996,-0.009239765741003993,0.006848881656577855,37.38119297079358,21.0,1.7800568081330275,False,False
1,24,(Q2_y_Bin_1)-(z_pT_Bin_24),27498.26415333039,110.58490676336987,-0.08145014116152652,0.005729365660143669,-0.011896086915353377,0.008456099554003135,35.076495315408295,21.0,1.6703093007337284,False,False
1,25,(Q2_y_Bin_1)-(z_pT_Bin_25),20670.53783247571,93.96412184076507,-0.11302901105177082,0.0065090688939153304,-0.0014702895566093214,0.0009844495615685585,22.650199269930283,21.0,1.0785809176157277,False,False
1,26,(Q2_y_Bin_1)-(z_pT_Bin_26),13345.472711278318,78.00814804534639,-0.15411135752100186,0.008501779527479492,0.03823196595444053,0.008077234612374673,70.628390177663,21.0,3.3632566751268094,False,False
1,29,(Q2_y_Bin_1)-(z_pT_Bin_29),28664.276584590454,357.88056478632643,-0.03960287602096352,0.028168061175529863,-0.021491419296589685,0.01601774760289354,29.297825681856686,17.0,1.723401510697452,False,False
1,30,(Q2_y_Bin_1)-(z_pT_Bin_30),28602.934444448565,153.31803496869725,-0.05011856349914898,0.007864130814572493,-0.02424868653938273,0.0076933023106454425,33.77652289013531,21.0,1.6084058519112052,False,False
1,31,(Q2_y_Bin_1)-(z_pT_Bin_31),26722.489409390313,132.81623504215167,-0.08013389121457762,0.007070465217736528,0.003022174502740571,0.0022667174924420534,38.05643539950872,21.0,1.8122112095004153,False,False
1,32,(Q2_y_Bin_1)-(z_pT_Bin_32),18388.6099026802,110.85320591025993,-0.10630895910704907,0.00869729567102425,0.0013972030714274927,0.0007903502101667259,113.36120340117284,21.0,5.398152542912992,False,False
2,1,(Q2_y_Bin_2)-(z_pT_Bin_1),25868.203824888482,188.184705064039,-0.09614066941356735,0.011133654242112712,0.012191709924147703,0.009119265576697955,41.937828566446164,21.0,1.9970394555450555,False,False
2,2,(Q2_y_Bin_2)-(z_pT_Bin_2),21072.898894480964,261.0122446068708,-0.13348893725061795,0.021637978343721012,0.06791932116484072,0.014626974652936726,54.25059355774575,18.0,3.0139218643192085,False,False
2,3,(Q2_y_Bin_2)-(z_pT_Bin_3),21840.875942096456,258.24390159244103,-0.13039447804940163,0.020523291203922177,0.041354036366871336,0.013483210241111999,48.36768670134277,17.0,2.845158041255457,False,False
2,4,(Q2_y_Bin_2)-(z_pT_Bin_4),17357.41824876393,203.66992103029952,-0.18457734654844513,0.020851324915467956,0.011656980050073722,0.006941296998814658,46.89789621372378,17.0,2.7586997772778696,False,False
2,5,(Q2_y_Bin_2)-(z_pT_Bin_5),18364.51152579472,168.97398226015866,-0.23821805705939322,0.016492882168947287,-0.013527335877927524,0.009813718879321677,85.35936058001971,18.0,4.742186698889984,False,False
2,6,(Q2_y_Bin_2)-(z_pT_Bin_6),15724.03975464345,111.79729633715215,-0.31938588095313875,0.01166772947320563,0.011662794780442687,0.008634945626158836,94.80081142571433,21.0,4.514324353605444,False,False
2,7,(Q2_y_Bin_2)-(z_pT_Bin_7),28449.75752184378,165.49944492908253,-0.014000000632464107,0.00604676392415863,0.03000000289730456,0.0066360421678546,29.53093244975147,21.0,1.406234878559594,False,False
2,8,(Q2_y_Bin_2)-(z_pT_Bin_8),23221.866016074677,244.45778872159826,-0.06137292683423576,0.016741729103266493,0.01274198965763311,0.009209458563057951,31.257580417139017,17.0,1.8386812010081774,False,False
2,9,(Q2_y_Bin_2)-(z_pT_Bin_9),24284.397983124996,221.683221899586,-0.04879188077069588,0.01418859207759137,0.023958576342561013,0.009980988057347491,53.812622953867795,17.0,3.165448409051047,False,False
2,10,(Q2_y_Bin_2)-(z_pT_Bin_10),18500.978428153143,124.04326642963133,-0.07086479982177316,0.0014539779784359316,0.0387779435397037,0.009870774359848108,50.90760252076604,19.0,2.6793475010929497,False,False
2,11,(Q2_y_Bin_2)-(z_pT_Bin_11),18670.006282719543,118.87779375362697,-0.15171261655752635,0.010036252596062445,0.011828820699173164,0.008858885570977044,28.167728186659804,21.0,1.3413203898409432,False,False
2,12,(Q2_y_Bin_2)-(z_pT_Bin_12),15116.573638310629,89.66086454038214,-0.3026805714431966,0.008760967396629515,0.08125002665080902,0.0085324647441508,31.969519698857745,21.0,1.522358080897988,False,False
