bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
(Q2_y_Bin_1)-(z_pT_Bin_1),27441.196927884994,314.77543663914,-0.0826819360948308,0.018030648561631377,-0.009700008727115373,0.013166933738641574,28.71734323401865,18.0,1.5954079574454805,False,False
(Q2_y_Bin_1)-(z_pT_Bin_2),27215.55218569081,269.4775612028243,-0.16017443451830102,0.017018304413572896,-0.013250000050747446,0.0036464165525500487,63.58772419894006,15.0,4.23918161326267,False,False
(Q2_y_Bin_1)-(z_pT_Bin_3),30975.55050353798,258.5443850484462,-0.1538556340549568,0.01426400059958316,-0.01130000009121761,0.0032111572181905265,53.95330253066604,15.0,3.5968868353777363,False,False
(Q2_y_Bin_1)-(z_pT_Bin_4),28928.50274083306,203.83595183261605,-0.1973213207816452,0.012102185332467374,-0.007600004821296797,0.009676845548008062,57.90802251052856,17.0,3.4063542653252092,False,False
(Q2_y_Bin_1)-(z_pT_Bin_5),25714.437574107393,159.30805972620874,-0.21076529290334461,0.010480145813505232,-0.023128789099790104,0.006505477915747775,55.38230725663382,21.0,2.6372527265063725,False,False
(Q2_y_Bin_1)-(z_pT_Bin_6),19013.911965729927,118.75903449715588,-0.23494118798311814,0.01005355408692285,-0.014306817368534206,0.0060083160513307275,32.05969028768226,21.0,1.5266519184610599,False,False
(Q2_y_Bin_1)-(z_pT_Bin_7),17078.00234018531,96.18141701839158,-0.33618966820861473,0.008548177699848891,0.014549999488574474,0.0007645298396122373,136.34642454315934,21.0,6.492686883007588,False,False
(Q2_y_Bin_1)-(z_pT_Bin_8),30134.065220948214,194.27438951098702,0.0077314104126040345,0.008185559797305257,0.02107676426905341,0.00796032320998252,24.20477916111121,16.0,1.5127986975694507,False,False
(Q2_y_Bin_1)-(z_pT_Bin_9),29839.93726629502,161.4871096253646,-0.018500012310034602,0.02613010463437352,0.02241852904479488,0.007056619633869005,20.225406314632217,17.0,1.1897297832136597,False,False
(Q2_y_Bin_1)-(z_pT_Bin_10),31373.02971321511,167.34827125088486,-0.04974464672633816,0.008043520384196208,0.013800503058368819,0.023625450909592394,27.526110011076323,18.0,1.5292283339486845,False,False
(Q2_y_Bin_1)-(z_pT_Bin_11),26615.837454594835,126.13402124134518,-0.1011910504631273,0.0073447909094179475,0.019250000235717674,0.0026604639484400505,47.17491699432254,21.0,2.246424618777264,False,False
