bin,A,A_err,B,B_err,C,C_err,chi2,ndf,redchi2,nanA,empty
(Q2_y_Bin_1)-(z_pT_Bin_17),28906.91672628859,176.55215261010017,-0.060075597455264564,0.008943227396820162,2.4590603482772966e-12,4.091170173632016e-12,23.122259997161123,21.0,1.1010599998648154,False,False
(Q2_y_Bin_1)-(z_pT_Bin_18),22807.31509629731,139.3809009743236,-0.12037418201779987,0.008556960706717374,0.0007356607542022874,0.0005444398176161437,27.27471103808357,21.0,1.2987957637182652,False,False
(Q2_y_Bin_1)-(z_pT_Bin_19),16006.715805645566,111.28021842409453,-0.1541473724021147,0.009803268212343536,0.010270326052487684,0.006079775913789862,27.866145274101928,21.0,1.3269592987667584,False,False
(Q2_y_Bin_1)-(z_pT_Bin_20),8676.535330389883,78.01654044405404,-0.27090965937800116,0.012996279277863954,0.10134173195302201,0.012556731364520013,40.69366051276879,21.0,1.9377933577508946,False,False
(Q2_y_Bin_1)-(z_pT_Bin_22),28161.313890648,308.5142660481288,-0.019347648819018102,0.03154191940338122,-0.012500003366821359,0.003103220167608954,22.185285091736223,17.0,1.3050167701021307,False,False
(Q2_y_Bin_1)-(z_pT_Bin_23),27837.90867346304,197.44188984943685,-0.012843813411032756,0.00959420758339299,-0.0013649361547293023,0.0007811128084677082,31.426012103380415,21.0,1.4964767668276389,False,False
(Q2_y_Bin_1)-(z_pT_Bin_24),27431.262244487214,159.31757771689627,-0.0791597865469032,0.008166236047135123,-0.009994116110668994,0.0074835019798191954,32.40642799979495,21.0,1.5431632380854738,False,False
(Q2_y_Bin_1)-(z_pT_Bin_25),20586.094036548897,130.4494616417087,-0.12181975596432601,0.008984790081759612,0.004116030050788248,0.004896092354314619,17.93121607122782,21.0,0.8538674319632295,False,False
(Q2_y_Bin_1)-(z_pT_Bin_26),13140.64336353667,100.02302349155525,-0.14378215251242105,0.010949545049128678,0.03506550991223627,0.010217749598539388,51.56840993794599,21.0,2.4556385684736184,False,False
(Q2_y_Bin_1)-(z_pT_Bin_29),29435.305795856388,438.77049996230926,-0.026592434330572016,0.019755785980317242,-0.006957922108460552,0.004647017863915595,31.087983148076773,17.0,1.8287048910633397,False,False
(Q2_y_Bin_1)-(z_pT_Bin_30),28516.923960899047,202.35448627285223,-0.05651038265239208,0.010136687268396557,-0.019148303334290614,0.013851935217157914,34.17410735772153,21.0,1.6273384456057873,False,False
(Q2_y_Bin_1)-(z_pT_Bin_31),26585.670241396707,177.5032543587131,-0.08103528188748729,0.00941680956889774,0.0026899008231134895,0.00182428426194526,21.82990186419848,21.0,1.0395191363904037,False,False
(Q2_y_Bin_1)-(z_pT_Bin_32),18179.98995070274,139.4774984593114,-0.08890337078645952,0.010948071264489052,0.006121088261160662,0.0036324009540706355,83.25308105749976,21.0,3.964432431309512,False,False
(Q2_y_Bin_2)-(z_pT_Bin_1),24838.28850132092,268.2248980325985,-0.07192507476817846,0.01542723274362584,0.01613245552683014,0.011884315748112051,27.931600152543766,21.0,1.3300761977401794,False,False
(Q2_y_Bin_2)-(z_pT_Bin_2),20139.930135643244,313.0520101077691,-0.13524579733550646,0.026720809661590614,0.06936299187446855,0.03949063960049543,49.35238928667595,18.0,2.7417994048153305,False,False
(Q2_y_Bin_2)-(z_pT_Bin_3),21441.145678574198,358.1798158336842,-0.1296283927632345,0.028302243938941478,0.03945002341910056,0.028379241339552483,35.8307978474452,17.0,2.107693991026188,False,False
(Q2_y_Bin_2)-(z_pT_Bin_4),17539.61411226622,273.62989714039577,-0.21608481064424453,0.027505712594353846,0.00803752055133228,0.00512983405509781,28.479818421281045,17.0,1.675283436545944,False,False
(Q2_y_Bin_2)-(z_pT_Bin_5),19846.950902551394,268.2623434359102,-0.26302250757285345,0.02335765872743374,-0.024034625424950072,0.01795773253555294,45.73759894713566,18.0,2.5409777192853142,False,False
(Q2_y_Bin_2)-(z_pT_Bin_6),16748.194804101608,220.70904458026598,-0.32301616740855216,0.0014798804798180631,0.0025000024716817083,0.0036264042772074997,87.2875161721591,21.0,4.156548389150434,False,False
(Q2_y_Bin_2)-(z_pT_Bin_7),28448.217499199538,237.40168400456605,-0.014000000898063629,0.0034763926772751145,0.03000000066473149,0.040831495668633075,23.70091363600448,21.0,1.1286149350478323,False,False
(Q2_y_Bin_2)-(z_pT_Bin_8),22418.109747920684,308.0219777963666,-0.08412794802202973,0.02223780241842232,-0.010443887711441259,0.005765982639852215,21.56387081098473,17.0,1.2684629888814547,False,False
(Q2_y_Bin_2)-(z_pT_Bin_9),23746.421057621188,272.5648845102005,-0.057348127715297646,0.017711257571048074,0.029129390568284716,0.02091181653333218,44.75061599462862,17.0,2.6323891761546245,False,False
(Q2_y_Bin_2)-(z_pT_Bin_10),17676.776223948254,182.31964329262337,-0.14929645812361247,0.01698729914536229,0.007684508158200131,0.010208311070983512,24.728660470473443,19.0,1.3015084458143917,False,False
(Q2_y_Bin_2)-(z_pT_Bin_11),18122.048672473196,152.6391420741038,-0.16965275285010123,0.013019538958326735,0.007641308352774219,0.004169703765894517,18.095960873598486,21.0,0.8617124225523088,False,False
(Q2_y_Bin_2)-(z_pT_Bin_12),13986.66637615684,123.62843511675419,-0.34581382834206376,0.012744865573829006,0.06219916790631883,0.012153890647503857,15.550416116118603,21.0,0.7404960055294573,False,False
(Q2_y_Bin_2)-(z_pT_Bin_13),30786.858162720724,285.49634006855376,0.009307541860197907,0.00470415431093053,0.014793595728310172,0.011021506565074708,34.396330935410624,21.0,1.6379205207338392,False,False
(Q2_y_Bin_2)-(z_pT_Bin_14),24466.114837411642,191.68107760127896,-5.866998262360918e-10,9.930153696162153e-10,0.030000016051014898,0.009298372500819906,26.5511338827535,17.0,1.561831404867853,False,False
(Q2_y_Bin_2)-(z_pT_Bin_15),23464.385863216354,200.40828012877864,-0.0696814906775418,0.013369499118808213,-0.009350644306353642,0.005413724156553054,23.223214682327736,19.0,1.2222744569646178,False,False
(Q2_y_Bin_2)-(z_pT_Bin_16),16809.73747498739,139.39110497803813,-0.11424498783590578,0.012386328305451728,-0.008435844596887091,0.00451702310890474,28.944109760567514,21.0,1.3782909409794055,False,False
(Q2_y_Bin_2)-(z_pT_Bin_17),16055.996199735615,122.78190174960037,-0.17780013840225237,0.010919215910109303,0.006757672544865984,0.004272690244291935,25.44106808478438,21.0,1.21147943260878,False,False
(Q2_y_Bin_2)-(z_pT_Bin_18),10222.369177226185,97.39970403284315,-0.33396704270978017,0.013515919192074871,0.06959588923791833,0.012903139067783825,30.297938533578414,21.0,1.4427589777894483,False,False
(Q2_y_Bin_2)-(z_pT_Bin_19),31898.038375882235,319.94403886938926,-0.021685064241700195,0.01624389230320633,-0.008935159472500993,0.004472540378951018,26.1433231573241,20.0,1.307166157866205,False,False
(Q2_y_Bin_2)-(z_pT_Bin_20),25342.0400518932,230.53046672303572,-0.020427721095013573,0.015259989820384874,-0.004321159070690999,0.002311701264504801,24.58273364648166,19.0,1.2938280866569294,False,False
(Q2_y_Bin_2)-(z_pT_Bin_21),24318.767532280643,173.01457952640703,-0.08515692682985368,0.010658852230392812,-0.005511435607538863,0.006433478188572692,29.96336031205111,21.0,1.4268266815262431,False,False
(Q2_y_Bin_2)-(z_pT_Bin_22),17095.204757110117,128.89531424162124,-0.10373125855420047,0.010658845099131828,-0.014536401638549789,0.010896804710968853,37.16693022634045,21.0,1.769853820301926,False,False
(Q2_y_Bin_2)-(z_pT_Bin_23),14939.368128749731,115.08858731077635,-0.1743318961816556,0.011001200880848008,0.008011739215875637,0.004767675702309689,35.5939212744298,21.0,1.694948632115705,False,False
(Q2_y_Bin_2)-(z_pT_Bin_25),25655.440707881226,215.08265680640216,-0.01000002718733882,0.016997591722389873,-0.004804299955105746,0.005059202091332471,33.50559750329401,19.0,1.7634525001733692,False,False
(Q2_y_Bin_2)-(z_pT_Bin_26),19765.925513166523,176.0673403721812,-0.07529524795589648,0.01342014862807031,-0.026462766497550434,0.012158349877982637,51.0684301901883,21.0,2.431830009056586,False,False
(Q2_y_Bin_2)-(z_pT_Bin_27),18670.27875049983,139.9926881437932,-0.07737466318894161,0.01057172835250337,-0.030966523810632165,0.010192835117155767,30.531910072127353,21.0,1.453900479625112,False,False
(Q2_y_Bin_2)-(z_pT_Bin_28),12696.269972023712,110.4453474228385,-0.07807779190937966,0.012212603842940747,-0.027951914932840376,0.011006527880326435,20.405613452867893,21.0,0.9716958787079949,False,False
(Q2_y_Bin_2)-(z_pT_Bin_29),10459.552148506182,100.17612149758588,-0.18099235201053837,0.013777695395145464,0.037499992424322115,0.002542567340032765,26.52410809281083,21.0,1.2630527663243254,False,False
(Q2_y_Bin_2)-(z_pT_Bin_31),45800.31814818485,451.8688265993842,-0.008415346822161543,0.005433741323052742,0.0017317503719716785,0.0009560222877584975,22.245681309990324,19.0,1.170825332104754,False,False
